,SBoxes,time_elapsed,generation_method,max_item,max_item_count,zero_items_count,is_bijective,nonlinearity
17,"[14, 11, 12, 13, 8, 5, 0, 6, 7, 4, 1, 9, 15, 10, 3, 2]",0.0001456737518310547,RandomGeneration,8,3,144,True,True
18,"[3, 1, 4, 14, 6, 0, 10, 15, 11, 5, 7, 9, 8, 2, 13, 12]",0.00021886825561523438,RandomGeneration,6,3,132,True,True
19,"[6, 0, 10, 8, 4, 11, 15, 13, 7, 3, 5, 12, 2, 14, 1, 9]",0.00016927719116210938,RandomGeneration,8,1,126,True,True
20,"[7, 3, 1, 0, 12, 6, 15, 5, 4, 9, 10, 14, 2, 8, 11, 13]",0.0002524852752685547,RandomGeneration,8,1,138,True,True
21,"[15, 9, 6, 0, 4, 7, 1, 8, 5, 10, 12, 2, 3, 14, 13, 11]",0.0001838207244873047,RandomGeneration,6,3,132,True,True
22,"[12, 2, 13, 9, 11, 3, 1, 14, 4, 15, 6, 5, 0, 8, 10, 7]",0.00014925003051757812,RandomGeneration,8,1,141,True,True
23,"[7, 1, 6, 5, 13, 11, 15, 0, 9, 8, 2, 3, 4, 10, 12, 14]",0.00017404556274414062,RandomGeneration,8,1,138,True,True
24,"[8, 2, 6, 1, 4, 11, 10, 13, 15, 9, 3, 0, 12, 7, 5, 14]",0.00015497207641601562,RandomGeneration,6,2,127,True,True
25,"[4, 9, 0, 10, 13, 3, 11, 15, 14, 5, 7, 12, 6, 1, 8, 2]",0.00014972686767578125,RandomGeneration,8,1,130,True,True
26,"[8, 2, 7, 1, 5, 11, 10, 12, 14, 13, 4, 3, 6, 9, 0, 15]",0.0001499652862548828,RandomGeneration,10,1,154,True,True
27,"[7, 6, 14, 11, 5, 15, 9, 3, 13, 0, 10, 8, 4, 12, 1, 2]",0.00014638900756835938,RandomGeneration,6,3,129,True,True
28,"[5, 6, 11, 0, 7, 3, 12, 4, 15, 1, 13, 10, 9, 14, 2, 8]",0.00014734268188476562,RandomGeneration,6,5,133,True,True
29,"[11, 5, 12, 8, 7, 6, 4, 14, 0, 10, 15, 1, 2, 3, 9, 13]",0.0001671314239501953,RandomGeneration,6,3,132,True,True
30,"[2, 6, 15, 13, 3, 8, 5, 10, 1, 11, 9, 14, 4, 7, 12, 0]",0.00017213821411132812,RandomGeneration,4,18,123,True,True
31,"[12, 8, 3, 0, 13, 9, 14, 11, 7, 6, 4, 1, 15, 5, 2, 10]",0.0003905296325683594,RandomGeneration,8,1,129,True,True
32,"[8, 6, 14, 12, 0, 9, 2, 1, 10, 5, 7, 15, 13, 4, 11, 3]",0.0005483627319335938,RandomGeneration,6,2,130,True,True
33,"[5, 12, 13, 0, 14, 1, 9, 10, 2, 8, 15, 11, 7, 6, 3, 4]",0.0006492137908935547,RandomGeneration,6,1,119,True,True
34,"[4, 13, 12, 1, 2, 10, 8, 11, 3, 5, 9, 14, 6, 7, 0, 15]",0.0006206035614013672,RandomGeneration,4,15,120,True,True
35,"[6, 4, 5, 11, 15, 7, 3, 8, 2, 13, 10, 1, 9, 0, 12, 14]",0.0005295276641845703,RandomGeneration,6,3,129,True,True
36,"[10, 9, 13, 12, 3, 1, 2, 5, 4, 14, 0, 7, 11, 8, 15, 6]",0.0005362033843994141,RandomGeneration,6,6,135,True,True
37,"[15, 1, 3, 12, 4, 0, 2, 13, 14, 11, 7, 9, 8, 5, 6, 10]",0.00048065185546875,RandomGeneration,8,1,138,True,True
38,"[6, 14, 7, 15, 4, 0, 13, 9, 2, 11, 5, 10, 12, 3, 1, 8]",0.0003712177276611328,RandomGeneration,6,3,132,True,True
39,"[13, 3, 1, 4, 8, 5, 2, 7, 14, 0, 9, 11, 15, 6, 10, 12]",0.00016832351684570312,RandomGeneration,8,1,136,True,True
40,"[6, 3, 2, 15, 8, 5, 11, 14, 1, 7, 13, 12, 10, 9, 4, 0]",0.00014925003051757812,RandomGeneration,4,24,129,True,True
41,"[6, 14, 13, 8, 1, 0, 5, 9, 4, 15, 12, 7, 3, 11, 2, 10]",0.00017833709716796875,RandomGeneration,6,6,135,True,True
42,"[3, 6, 7, 5, 9, 0, 12, 8, 13, 15, 1, 4, 14, 2, 11, 10]",0.0001518726348876953,RandomGeneration,8,3,144,True,True
43,"[3, 0, 9, 5, 10, 8, 13, 7, 2, 12, 15, 4, 6, 14, 11, 1]",0.0001475811004638672,RandomGeneration,8,1,136,True,True
44,"[6, 0, 14, 4, 15, 11, 12, 8, 13, 10, 9, 5, 7, 1, 3, 2]",0.0001480579376220703,RandomGeneration,6,5,136,True,True
45,"[7, 14, 4, 10, 0, 6, 3, 1, 11, 12, 13, 9, 8, 15, 5, 2]",0.0001461505889892578,RandomGeneration,6,3,132,True,True
46,"[2, 4, 14, 9, 10, 0, 7, 12, 15, 5, 13, 1, 11, 3, 6, 8]",0.0001609325408935547,RandomGeneration,8,1,137,True,True
47,"[12, 3, 5, 15, 1, 10, 8, 14, 7, 2, 9, 11, 4, 0, 6, 13]",0.0002257823944091797,RandomGeneration,6,2,130,True,True
48,"[9, 3, 4, 7, 14, 8, 6, 5, 10, 12, 13, 0, 1, 11, 15, 2]",0.00015497207641601562,RandomGeneration,8,3,144,True,True
49,"[14, 2, 3, 11, 4, 9, 1, 15, 7, 6, 13, 10, 0, 12, 5, 8]",0.0001480579376220703,RandomGeneration,8,1,140,True,True
50,"[12, 6, 9, 13, 0, 3, 15, 5, 4, 14, 10, 11, 7, 1, 2, 8]",0.00014662742614746094,RandomGeneration,8,1,138,True,True
51,"[8, 15, 6, 2, 11, 7, 0, 9, 12, 10, 14, 4, 5, 3, 13, 1]",0.00024700164794921875,RandomGeneration,10,1,140,True,True
52,"[8, 3, 14, 5, 10, 0, 2, 11, 4, 6, 7, 15, 12, 1, 13, 9]",0.00021219253540039062,RandomGeneration,4,15,120,True,True
53,"[4, 5, 8, 2, 7, 13, 15, 9, 0, 12, 1, 11, 14, 10, 6, 3]",0.00015306472778320312,RandomGeneration,10,1,144,True,True
54,"[9, 8, 5, 15, 7, 3, 14, 2, 1, 6, 11, 13, 12, 0, 4, 10]",0.0001461505889892578,RandomGeneration,8,1,138,True,True
55,"[9, 14, 5, 11, 1, 12, 6, 2, 13, 3, 7, 10, 4, 15, 0, 8]",0.00014591217041015625,RandomGeneration,6,3,126,True,True
56,"[10, 9, 15, 6, 1, 3, 13, 2, 4, 12, 5, 11, 14, 7, 0, 8]",0.0001456737518310547,RandomGeneration,8,1,136,True,True
57,"[13, 15, 2, 1, 14, 11, 9, 3, 7, 0, 4, 10, 12, 6, 5, 8]",0.00014591217041015625,RandomGeneration,8,2,136,True,True
58,"[10, 15, 4, 9, 8, 0, 5, 3, 1, 2, 7, 6, 11, 14, 13, 12]",0.00022363662719726562,RandomGeneration,8,3,143,True,True
59,"[8, 14, 11, 1, 3, 4, 0, 12, 13, 7, 9, 2, 10, 15, 6, 5]",0.00019884109497070312,RandomGeneration,6,2,130,True,True
60,"[0, 10, 4, 2, 8, 12, 7, 3, 1, 9, 5, 15, 6, 11, 14, 13]",0.00015354156494140625,RandomGeneration,6,2,127,True,True
61,"[14, 9, 7, 8, 0, 3, 4, 1, 15, 6, 2, 12, 11, 5, 13, 10]",0.00015878677368164062,RandomGeneration,4,15,120,True,True
62,"[13, 7, 1, 9, 10, 6, 11, 15, 4, 8, 3, 5, 12, 0, 2, 14]",0.0001456737518310547,RandomGeneration,8,1,138,True,True
63,"[2, 0, 3, 4, 8, 5, 13, 1, 9, 12, 15, 11, 10, 14, 6, 7]",0.0001468658447265625,RandomGeneration,6,2,127,True,True
64,"[9, 4, 12, 8, 10, 15, 13, 7, 14, 1, 2, 0, 11, 3, 6, 5]",0.00016164779663085938,RandomGeneration,4,15,120,True,True
65,"[1, 12, 2, 11, 4, 13, 0, 5, 9, 8, 7, 3, 10, 14, 6, 15]",0.00014781951904296875,RandomGeneration,6,2,127,True,True
66,"[9, 4, 7, 1, 0, 5, 3, 15, 12, 8, 10, 13, 2, 14, 6, 11]",0.00014781951904296875,RandomGeneration,8,1,130,True,True
67,"[13, 5, 14, 0, 6, 9, 3, 8, 7, 10, 15, 12, 2, 4, 1, 11]",0.0001468658447265625,RandomGeneration,6,2,130,True,True
68,"[11, 15, 13, 14, 12, 4, 0, 8, 10, 3, 9, 2, 7, 1, 5, 6]",0.00014734268188476562,RandomGeneration,6,1,125,True,True
69,"[5, 6, 14, 13, 12, 2, 1, 8, 15, 9, 11, 10, 4, 3, 7, 0]",0.00014591217041015625,RandomGeneration,6,2,127,True,True
70,"[2, 5, 11, 14, 10, 13, 1, 6, 4, 8, 0, 3, 7, 12, 15, 9]",0.00020265579223632812,RandomGeneration,8,4,142,True,True
71,"[1, 13, 10, 5, 14, 12, 11, 2, 15, 6, 4, 0, 3, 7, 8, 9]",0.0001556873321533203,RandomGeneration,8,1,146,True,True
72,"[5, 10, 6, 1, 14, 4, 8, 0, 2, 13, 7, 3, 12, 9, 11, 15]",0.00014710426330566406,RandomGeneration,6,2,130,True,True
73,"[7, 11, 12, 8, 13, 14, 15, 3, 10, 1, 0, 9, 4, 2, 5, 6]",0.00014829635620117188,RandomGeneration,8,1,130,True,True
74,"[11, 1, 8, 5, 10, 3, 7, 9, 4, 13, 14, 6, 12, 2, 0, 15]",0.00022029876708984375,RandomGeneration,8,2,136,True,True
75,"[6, 4, 12, 13, 7, 14, 11, 1, 3, 8, 0, 2, 9, 5, 15, 10]",0.00025177001953125,RandomGeneration,6,2,127,True,True
76,"[2, 4, 9, 11, 13, 3, 14, 10, 15, 7, 6, 0, 12, 8, 5, 1]",0.00015592575073242188,RandomGeneration,8,3,146,True,True
77,"[10, 3, 5, 9, 13, 2, 15, 12, 6, 11, 14, 0, 1, 7, 8, 4]",0.00014853477478027344,RandomGeneration,6,1,125,True,True
78,"[8, 1, 11, 6, 7, 14, 3, 10, 12, 4, 15, 13, 2, 9, 5, 0]",0.0001571178436279297,RandomGeneration,6,3,132,True,True
79,"[1, 8, 4, 5, 13, 3, 0, 12, 15, 7, 11, 2, 6, 14, 9, 10]",0.00014925003051757812,RandomGeneration,6,5,136,True,True
80,"[15, 7, 0, 13, 12, 4, 14, 1, 10, 8, 6, 11, 3, 5, 9, 2]",0.00014781951904296875,RandomGeneration,6,2,124,True,True
81,"[1, 13, 10, 9, 5, 7, 2, 14, 8, 12, 15, 6, 0, 4, 11, 3]",0.00016951560974121094,RandomGeneration,8,1,138,True,True
82,"[9, 3, 13, 0, 5, 6, 8, 11, 4, 10, 15, 7, 12, 2, 14, 1]",0.00016236305236816406,RandomGeneration,8,1,138,True,True
83,"[14, 7, 8, 3, 12, 1, 6, 11, 15, 9, 10, 5, 4, 0, 13, 2]",0.00014972686767578125,RandomGeneration,6,1,122,True,True
84,"[3, 0, 1, 14, 8, 5, 2, 10, 15, 12, 4, 6, 11, 13, 9, 7]",0.00014734268188476562,RandomGeneration,6,2,130,True,True
85,"[11, 1, 9, 14, 12, 6, 13, 0, 4, 8, 2, 3, 10, 7, 5, 15]",0.00014734268188476562,RandomGeneration,10,1,140,True,True
86,"[8, 7, 0, 5, 2, 3, 11, 1, 6, 13, 9, 15, 12, 14, 10, 4]",0.00014543533325195312,RandomGeneration,6,5,136,True,True
87,"[7, 1, 12, 15, 14, 5, 2, 13, 9, 0, 6, 8, 3, 11, 4, 10]",0.00024700164794921875,RandomGeneration,6,2,127,True,True
88,"[12, 11, 8, 2, 4, 7, 0, 9, 14, 10, 5, 3, 15, 1, 6, 13]",0.0001811981201171875,RandomGeneration,6,3,129,True,True
89,"[6, 13, 15, 12, 5, 1, 2, 4, 9, 8, 14, 11, 3, 7, 10, 0]",0.0001666545867919922,RandomGeneration,8,1,137,True,True
90,"[5, 0, 8, 1, 10, 15, 12, 2, 9, 11, 13, 3, 6, 14, 4, 7]",0.00014710426330566406,RandomGeneration,8,1,136,True,True
91,"[12, 4, 7, 14, 10, 1, 3, 0, 9, 2, 8, 11, 15, 13, 5, 6]",0.00014781951904296875,RandomGeneration,8,2,151,True,True
92,"[0, 10, 3, 9, 1, 6, 5, 12, 15, 14, 2, 7, 8, 11, 13, 4]",0.0001461505889892578,RandomGeneration,6,1,128,True,True
93,"[7, 3, 8, 14, 13, 1, 5, 6, 0, 15, 9, 10, 2, 4, 12, 11]",0.00022935867309570312,RandomGeneration,6,1,128,True,True
94,"[13, 0, 4, 3, 15, 6, 1, 7, 8, 11, 9, 14, 10, 5, 2, 12]",0.0001513957977294922,RandomGeneration,6,3,132,True,True
95,"[2, 6, 15, 12, 3, 10, 0, 7, 4, 14, 13, 5, 9, 1, 11, 8]",0.0001480579376220703,RandomGeneration,6,5,136,True,True
96,"[1, 11, 14, 12, 7, 9, 10, 13, 3, 8, 5, 0, 4, 6, 2, 15]",0.00014781951904296875,RandomGeneration,4,21,126,True,True
97,"[8, 7, 0, 5, 14, 3, 1, 2, 9, 6, 11, 4, 10, 13, 15, 12]",0.0001938343048095703,RandomGeneration,10,1,140,True,True
98,"[1, 7, 2, 15, 14, 11, 6, 0, 9, 3, 5, 4, 10, 13, 12, 8]",0.0002644062042236328,RandomGeneration,8,1,130,True,True
99,"[2, 13, 1, 12, 3, 14, 11, 8, 10, 6, 7, 9, 4, 5, 0, 15]",0.00015282630920410156,RandomGeneration,6,2,127,True,True
